IdDescripcionRuta,CodigoComarca,NombreComarca,TipoRuta,DescripcionTipoRutaES,DescripcionTipoRutaEU,CodigoMunicipioInicio,NombreMunicipioInicio,CodigoMunicipioFin,NombreMunicipioFin,Trazado,CodigoSeguridad,DescripcionSeguridadES,DescripcionSeguridadEU,CodigoAccesibilidad,DescripcionAccesibilidadES,DescripcionAccesibilidadEU,CodigoDificultad,DescripcionDificultadES,DescripcionDificultadEU,LongitudIdaVuelta,LongitudIda,DesnivelPositivoIda,DesnivelNegativoIda,TiempoIda,LongitudVuelta,DesnivelPositivoVuelta,DesnivelNegativoVuelta,TiempoVuelta,TransportePublico,LatitudInicial,LatitudFinal,LongitudInicial,LongitudFinal,NombreRuta,InformacionRutaES,InformacionRutaEU,InformacionBreveRutaES,InformacionBreveRutaEU,DireccionInicioES,DireccionInicioEU,DireccionFinES,DireccionFinEU,UrlInformacion,UrlGPX,UrlFichaDescriptivaES,UrlFichaDescriptivaEU
DUR01,1,Durangaldea,1,Lineal,Lineala,1,Mallabia,2.0,Ermua,DUR01.gpx,2,Baja,Txikia,3,Media,Ertaina,2,Alta,Handia,6.02,3.01,0,90,00:45,6.02,90.0,90.0,01:30,1,43.1896730326,,-2.5293003861,,Mallabia-Ermua,El itinerario une los cascos urbanos de Mallabia y Ermua. Se trata de un recorrido vinculado a la carretera BI-3302 en una bajada constante que cruza el polígono industrial de Urtia. El tramo inicial no cuenta con segregación para la circulación petonal. El tramo final transcurre por aceras del casco urbano de Ermua.,"Ibilbideak Mallabia eta Ermuko herriguneak elkartzen ditu. BI-3302 errepidearekin batera jeisten da, Urtia industriagunea zeharkatuz. Hasierako tarteak ez dauka oinezkoentzako bereizitako zerrendarik, amaierakoa Ermuko kaleetako espaloietan zehar iragaten delarik.",El itinerario recorre parte de los cascos urbanos de Mallabia y Ermua.,Ibilbideak Mallabia eta Ermuko herriguneak zeharkatzen ditu tarte batean.,"Arteiz kalea, 4","Arteiz kalea, 4","Marqués de Valdespina, 1","Marqués de Valdespina, 1",https://www.bizkaia.eus/es/web/rutas-del-colesterol/ruta/-/ficha/20,https://www.bizkaia.eus/documents/1544457/1565773/DUR01.gpx,https://www.bizkaia.eus/documents/1544457/1565773/DUR01_es.pdf,https://www.bizkaia.eus/documents/1544457/1565773/DUR01_eu.pdf
DUR02,1,Durangaldea,0,Circular,Zirkularra,3,Zaldibar,,Zaldibar,DUR02.gpx,4,Alta,Handia,4,Alta,Handia,3,Media,Ertaina,3.57,3.57,45,45,00:54,,,,,1,43.1707786303,,-2.5459239632,,Zaldibar,"El itinerario recorre aceras del entorno urbano de Zaldibar. Se trata de un recorrido que sube por Euskal Herria hasta el polígono industrial de Solozabal, vuelve al casco y a través de Olazar rodea el campo de fútbol y el hospital, para volver al punto inicial por aceras vinculadas a la N-634.","Ibilbidea Zaldibarko herrigunearen inguruko espaloietan zehar iragaten da. Euskal Herria kalean gora Solozabal industriaguneraino iritsi eta herrigunera itzuli ondoren, futbol zelaia eta ospitalea inguratzen ditu Olazar aldetik, N-634 errepideari lotutako espaloietan zehar abiapuntura itzuliz.",El itinerario recorre buena parte del casco urbano de Zaldibar.,Ibilbideak Zaldibarko herrigunea zeharkatzen du tarte handi batean.,"Bizkaiko Diputazio plaza, 1","Bizkaiko Diputazio plaza, 1",,,https://www.bizkaia.eus/es/web/rutas-del-colesterol/ruta/-/ficha/21,https://www.bizkaia.eus/documents/1544457/1565773/DUR02.gpx,https://www.bizkaia.eus/documents/1544457/1565773/DUR02_es.pdf,https://www.bizkaia.eus/documents/1544457/1565773/DUR02_eu.pdf
DUR03,1,Durangaldea,1,Lineal,Lineala,3,Zaldibar,4.0,Berriz,DUR03.gpx,3,Media,Ertaina,3,Media,Ertaina,3,Media,Ertaina,6.62,3.31,56,60,00:50,6.62,116.0,116.0,01:40,1,43.1707351282,,-2.5459807925,,Zaldibar-Okango-Berriz,"El itinerario une los cascos urbanos de Zaldibar y Berriz. Sale de Zaldibar por Arantzamendi y recorre Okango por pistas de asfalto y hormigón siguiendo la franja comprendida entre el trazado ferroviario y la A-8, pasando entre otros junto a Uribetxea y Zabala. Después de cruzar sobre las vías de tren en dos puntos, entra en el casco de Berriz por Ospitalea, subiendo desde aquí hasta el ayuntamiento recorriendo las aceras de Iturrritza.","Ibilbideak Zaldibar eta Berrizko herriguneak elkartzen ditu. Zaldibartik Arantzamendin zehar irten ondoren, asfalto eta hormigoizko pistak jarraituz Okango zeharkatzen du, trenbidearen eta A-8 autopistaren arteko eremuan, besteak beste Uribetxea eta Zabala ondotik pasatuz. Trenbidearen gainetik birritan pasa ondoren, Berrizko herrigunean Ospitaleatik sartzen da, Iturritzako espaloien gainetik udaletxeraino igoz.",El itinerario recorre parte de los cascos urbanos de Zaldibar y Berriz.,Ibilbideak Zaldibar eta Berrizko herriguneak zeharkatzen ditu tarte batean.,"Bizkaiko Diputazio plaza, 1","Bizkaiko Diputazio plaza, 1","Iturritza, 51","Iturritza, 51",https://www.bizkaia.eus/es/web/rutas-del-colesterol/ruta/-/ficha/22,https://www.bizkaia.eus/documents/1544457/1565773/DUR03.gpx,https://www.bizkaia.eus/documents/1544457/1565773/DUR03_es.pdf,https://www.bizkaia.eus/documents/1544457/1565773/DUR03_eu.pdf
DUR05,1,Durangaldea,1,Lineal,Lineala,4,Berriz,6.0,Abadiño,DUR05.gpx,2,Baja,Txikia,3,Media,Ertaina,2,Alta,Handia,9.58,4.79,4,76,01:12,9.58,80.0,80.0,02:24,1,43.1746058911,,-2.5775001850,,Berriz-Matiena,"El itinerario une el casco urbano de Berriz con Matiena en un recorrido llano vinculado a vías de comunicación. Sale del casco urbano por Geltoki y Matzagabarrena. Al final de ésta cruza sobre el paso a nivel, discurre junto a las vías de tren y penetra en el polígono industrial de Eitua. La mayoría de caminantes inicia el retorno en este punto, o más adelante, cerca de El Pastor Vasco. Se han observado caminantes continuar el recorrido hasta Matiena por el arcén de la N-634, en un tramo peligroso debido a la velocidad del tráfico y la alta presencia de camiones.","Ibilbideak Berrizko herrigunea eta Matiena elkartzen ditu, bide-azpiegiturei uztartutako bide lauari jarraituz. herrigunetik Geltoki eta Matzagabarrenatik irteten da. Honen amaieran trenbide gainetik pasa, honen ondotik joan eta Eituako industriaguneraino iristen da. Ibiltarien gehiengoak itzulera puntu honetan hasten du, edo aurrerago, El Pastor Vasco jatetxearen ondoan. N-634 errepideko bazterbidetik ibilbidea Matienaraino luzatzen duten ibiltariak hauteman dira, tarte arriskutsua izanik: trafikoaren abiadura bizia, kamoi ugari...","El itinerario recorre parte del casco urbano de Berriz, llegando a Traña-Matiena (Abadiño).","Ibilbideak Berrizko herrigunea zeharkatzen du tarte batean, Traña-Matienara (Abadiño) iristen delarik.","Iturritza, 51","Iturritza, 51","Zubibitarte, 1. Traña-Matiena","Zubibitarte, 1. Traña-Matiena",https://www.bizkaia.eus/es/web/rutas-del-colesterol/ruta/-/ficha/24,https://www.bizkaia.eus/documents/1544457/1565773/DUR05.gpx,https://www.bizkaia.eus/documents/1544457/1565773/DUR05_es.pdf,https://www.bizkaia.eus/documents/1544457/1565773/DUR05_eu.pdf
DUR04,1,Durangaldea,1,Lineal,Lineala,4,Berriz,3.0,Zaldibar,DUR04.gpx,3,Media,Ertaina,2,Baja,Txikia,2,Alta,Handia,6.98,3.49,82,78,00:53,6.98,160.0,160.0,01:45,1,43.1746358145,,-2.5775708444,,Berriz-San Miguel-Zaldibar,"El itinerario une los cascos urbanos de Berriz y Zaldibar. Baja desde el ayuntamiento por Iturritza, sale del casco por Ospitalea, cruza el paso a nivel en Torretxu y sube por las pistas de asfalto de Okango hacia San Miguel. Desde este punto baja rápidamente hacia Zaldibar, entrando al casco urbano por Arantzamendi. Después del paso subterráneo bajo la N-634, llega hasta el ayuntamiento recorriendo las aceras de Euskal Herria.","Ibilbideak Berriz eta Zaldibar elkartzen ditu. Udaletxetik Iturritzan zehar jeitsi, kaskoa Ospitalea aldetik atzean utzi, Torretxun trenbide gainetik pasa eta Okangoko asfaltozko pistak jarraituz San Migelera igotzen da. Puntu honetatik Zaldibar aldera azkar jeitsi eta herrigunean Arantzamenditik sartzen da. N-634 azpiko lurpeko pasabidea zeharkatu ondoren, Euskal Herria kalean zehar udaletxeraino iristen da.",El itinerario recorre parte de los cascos urbanos de Berriz y Zaldibar.,Ibilbideak Berriz eta Zaldibarko herriguneak zeharkatzen ditu tarte batean.,"Iturritza, 51","Iturritza, 51","Bizkaiko Diputazio plaza, 1","Bizkaiko Diputazio plaza, 1",https://www.bizkaia.eus/es/web/rutas-del-colesterol/ruta/-/ficha/23,https://www.bizkaia.eus/documents/1544457/1565773/DUR04.gpx,https://www.bizkaia.eus/documents/1544457/1565773/DUR04_es.pdf,https://www.bizkaia.eus/documents/1544457/1565773/DUR04_eu.pdf
DUR06,1,Durangaldea,1,Lineal,Lineala,5,Garai,6.0,Abadiño,DUR06.gpx,3,Media,Ertaina,2,Baja,Txikia,2,Alta,Handia,7.36,3.68,7,173,00:56,7.36,180.0,180.0,01:51,1,43.1937457994,,-2.6112755667,,Garai-Matiena,"El itinerario baja rápidamente desde el casco de Garai (San Migel) a Matiena por la BI-3341. La bajada se produce en su mayor parte por el arcén, el cual cuenta con elementos de segregación con diversos grados de seguridad. En Gerediaga, a la altura de Salbatore, el itinerario abandona el vial y pasa bajo la A-8 primero y sobre la N-634 después, entrando a Matiena por Laubideta.","Ibilbideak Garai (San Migel) eta Matiena elkartzen ditu, BI-3341 errepideko jeitsierari jarraituz. Jeitsieraren tarterik handiena bazterbidetik doa, segurtasun maila desberdineko banaketa-elementuak dituena. Gerediagan, Salbatore parean, ibilbideak errepidea utzi eta A-8 autopista azpitik pasatzen du lehenengo, eta N-634 gainetik ondoren, Matienara Laubidetatik sartuz.","El itinerario recorre parte del casco urbano de Garai, llegando a Traña-Matiena (Abadiño).","Ibilbideak Garaiko herrigunea zeharkatzen du tarte batean, Traña-Matienara (Abadiño) iristen delarik.","San Migel, 20","San Migel, 20","Zubibitarte, 1. Traña-Matiena","Zubibitarte, 1. Traña-Matiena",https://www.bizkaia.eus/es/web/rutas-del-colesterol/ruta/-/ficha/25,https://www.bizkaia.eus/documents/1544457/1565773/DUR06.gpx,https://www.bizkaia.eus/documents/1544457/1565773/DUR06_es.pdf,https://www.bizkaia.eus/documents/1544457/1565773/DUR06_eu.pdf
DUR07,1,Durangaldea,0,Circular,Zirkularra,6,Abadiño,,Abadiño,DUR07.gpx,4,Alta,Handia,4,Alta,Handia,3,Media,Ertaina,5.59,5.59,25,25,01:24,,,,,1,43.1524548680,,-2.6078529004,,Abadiño: Matiena,"El itinerario sale de Zelaieta, rodea Matiena hasta llegar casi a Fauste (Durango) y vuelve al punto inicial. El itinerario sale de Zelaieta y en un recorrido llano llega a Matiena por las aceras de la carretera de Astola, continúa por la avenida Trañabarren y sale del entorno urbano girando al oeste por Zubibitarte. Rodea los polígonos industriales de Arzubia y Murueta y, después de una ligera subida, llega a Astola por el bidegorri que lo une con Fauste. Una vez en Astola, vuelve a Zelaieta repitiendo el tramo inicial del recorrido.","Zelaietatik irten ondoren, ibilbideak Matiena inguratzen du eta ia Fausteraino iristen da (Durango), handik abiapuntura itzuliz. Zelaietatik irten eta ibilbide lau batean Matienara iristen da Astolako errepideko espaloietatik, Trañabarren hiribidetik jarraitzen du eta herrigunetik irteten da Zubibitartetik mendebalderantz hartuz. Arzubia eta Murueta industriaguneak inguratu eta igoera txiki bat egin ondoren Astolara iristen da Faustetik datorren bidegorrian zehar. Behin Astolan, abiapuntura itzultzen da joaneko bide beretik.",El itinerario recorre parte de los cascos urbanos de Zelaieta y Traña-Matiena.,Ibilbideak Zelaieta eta Traña-Matienako herriguneak zeharkatzen ditu tarte batean.,"San Trokaz plaza, 1","San Trokaz plaza, 1",,,https://www.bizkaia.eus/es/web/rutas-del-colesterol/ruta/-/ficha/26,https://www.bizkaia.eus/documents/1544457/1565773/DUR07.gpx,https://www.bizkaia.eus/documents/1544457/1565773/DUR07_es.pdf,https://www.bizkaia.eus/documents/1544457/1565773/DUR07_eu.pdf
DUR08,1,Durangaldea,0,Circular,Zirkularra,6,Abadiño,,Abadiño,DUR08.gpx,4,Alta,Handia,2,Baja,Txikia,4,Baja,Txikia,2.58,2.58,21,21,00:39,,,,,1,43.1524215080,,-2.6079390664,,Abadiño: Muntsaratz,"El itinerario recorre la vega comprendida entre los ríos Zumelegi y Dorronsoro, entre Zelaieta y Muntsaratz. Sale de San Trokaz, entra en una zona de huertas por un camino de tierra, pasa junto al caserío Ola y llega al parque de Amandresolo en Muntsaratz. El recorrido comienza el retorno junto a la torre de Muntsaratz, volviendo por las aceras de Arlozabal, Kamiñopea y Solozabal, junto a un bidegorri en buena parte del camino.","Ibilbideak Zumelegi eta Dorronsoro erreken arteko ibarra kurritzen du, Zelaieta eta Muntsaratz artean. San Trokazetik irten, lurrezko bide batetatik baratze-gune bat zeharkatu, Ola baserriaren ondotik igaro eta Mutsarazko Amandresolo parkera iristen da. Muntsaratz dorretxearen ondoan hasten du itzulera, Arlozabal, Kamiñopea eta Solozabal kaleetako espaloietan zehar, bidegorri baten ondotik bidearen tarte handi batean.",El itinerario recorre parte de los cascos urbanos de Zelaieta y Muntsaratz.,Ibilbideak Zelaieta eta Muntsaratzeko herriguneak zeharkatzen ditu tarte batean.,"San Trokaz plaza, 1","San Trokaz plaza, 1",,,https://www.bizkaia.eus/es/web/rutas-del-colesterol/ruta/-/ficha/27,https://www.bizkaia.eus/documents/1544457/1565773/DUR08.gpx,https://www.bizkaia.eus/documents/1544457/1565773/DUR08_es.pdf,https://www.bizkaia.eus/documents/1544457/1565773/DUR08_eu.pdf
DUR09,1,Durangaldea,0,Circular,Zirkularra,7,Elorrio,,Elorrio,DUR09.gpx,3,Media,Ertaina,3,Media,Ertaina,3,Media,Ertaina,4.12,4.12,75,75,00:54,,,,,1,43.1304954551,,-2.5425661728,,Elorrio,"El itinerario rodea la parte occidental del casco de Elorrio. Sale hacia el norte siguiendo las aceras del camino a Argiñeta, girando hacia el oeste por caminos locales asfaltados sin protección para los peatones. Se cruza la BI-3321, bajando por Arauneta hacia San Agustín. Al llegar a la BI-3331 se gira hacia el este por la acera vinculada a ésta, tomando la calle Arraiarte para continuar hacia el campo de fútbol y subir hasta la ermita de San Jose (cota máxima del recorrido, 227m). Desde aquí se baja por San Roke al punto de inicio, pasando junto al cementerio y el palacio Iturri.","Ibilbideak Elorrioko herriguneko mendebaldea inguratzen du. Iparralderantz irteten da Argiñetara daraman bideko espaloiak jarraituz, eta mendebalderantz egiten du ibiltarientzako babesik gabeko tokiko bide asfaltodunetan zehar. BI-3321 zeharkatu eta San Agustin aldera jeisten da Araunetatik. BI-3331 errepidera iristean ekialderantz egiten du bere espaloiei jarraituz, eta Arraiarte kalea hartu ondoren futbol zelai aldera egiten du, gero San Roke ermitara igotzeko (ibilbideko garaiera altuena, 227m). Hemendik San Roke kalean zehar abiapuntura jeisten da, hilerriaren eta Iturri jauregiaren ondotik igaroz.",El itinerario rodea el casco urbano de Elorrio.,Ibilbideak Elorrioko herrigunea inguratzen du.,"Herriko plaza, 1","Herriko plaza, 1",,,https://www.bizkaia.eus/es/web/rutas-del-colesterol/ruta/-/ficha/158,https://www.bizkaia.eus/documents/1544457/1565773/DUR09.gpx,https://www.bizkaia.eus/documents/1544457/1565773/DUR09_es.pdf,https://www.bizkaia.eus/documents/1544457/1565773/DUR09_eu.pdf
DUR10,1,Durangaldea,1,Lineal,Lineala,7,Elorrio,8.0,Atxondo,DUR10.gpx,3,Media,Ertaina,3,Media,Ertaina,4,Baja,Txikia,8.04,4.02,22,34,01:00,8.04,56.0,56.0,02:01,1,43.1304954551,,-2.5425661728,,Elorrio-Atxondo,"El itinerario une Elorrio con Apatamonasterio, con un recorrido llano. Sale del casco urbano de Elorrio por San Fausto y llega a San Agustín por el paseo vinculado a la BI-3331. Cruza la carretera antes de la iglesia y continúa durante 1 km, pasando por debajo del vial que conecta con la N-636. Abandona la acera en Elix, cruza su aparcamiento y toma una pista que pasa por debajo de la N-636, llegando al entorno rural de San Pedro, ya en Atxondo. Entra al casco urbano de Apatamonasterio por Zearreta.","Ibilbideak Elorrio eta Apatamonasterio elkartzen ditu profil lau batekin. Elorriotik San Fauston zehar irteten da, eta San Agustinera BI-3331 errepideko espaloiak jarraituz iristen da. Eleizara iritsi aurretik errepidea gurutzatu eta kilometro bat gehiago egiten du, N-636 errepidera daraman didearen azpitik igaroz. Elixen espaloia utzi, bertako aparkalekua gurutzatu eta N-636 errepide azpitik pasatzen den pista bat hartzen du, San Pedroko landa-eremura iritsiz, Atxondon jada. Apatamonasterioko herrigunera Zearretatik sartzen da.",El itinerario recorre parte del casco urbano de Elorrio y llega a Apatamonasterio (Atxondo).,"Ibilbideak Elorrioko herrigunea zeharkatzen du tarte batean, Apatamonasteriora (Atxondo) iristen delarik.","Herriko plaza, 1","Herriko plaza, 1","Foruen plaza, 1","Foruen plaza, 1",https://www.bizkaia.eus/es/web/rutas-del-colesterol/ruta/-/ficha/28,https://www.bizkaia.eus/documents/1544457/1565773/DUR10.gpx,https://www.bizkaia.eus/documents/1544457/1565773/DUR10_es.pdf,https://www.bizkaia.eus/documents/1544457/1565773/DUR10_eu.pdf
